row_idx,flat_index,subject_id,sleep_date,target,base_prob,subject_threshold_prob,posterior_minus_base,desired_logit_step,raw_contrib_unit,local_contrib_unit,same_negative,base_saturated_high,base_saturated_low,confidence,trajectory_grammar_logit,trajectory_action_logit,trajectory_confidence,trajectory_state_score,signed_posterior_support,posterior_agree,trajectory_joint_state_score,measurement_grammar_logit,measurement_semantic_score,measurement_temporal_score,temporal_confidence,measurement_joint_state_score,raw_semantic_grammar_logit,state_support,raw_signed_support,semantic_signed_support,temporal_signed_support,raw_semantic_joint_state_score,raw_agree,semantic_agree_residual,temporal_agree_residual,candidate_logit_step,trajectory_grammar_logit_agrees,trajectory_grammar_logit_conflicts,trajectory_action_logit_agrees,trajectory_action_logit_conflicts,signed_posterior_support_agrees,signed_posterior_support_conflicts,measurement_grammar_logit_agrees,measurement_grammar_logit_conflicts,measurement_semantic_score_agrees,measurement_semantic_score_conflicts,measurement_temporal_score_agrees,measurement_temporal_score_conflicts,raw_semantic_grammar_logit_agrees,raw_semantic_grammar_logit_conflicts,state_support_agrees,state_support_conflicts,raw_signed_support_agrees,raw_signed_support_conflicts,semantic_signed_support_agrees,semantic_signed_support_conflicts,temporal_signed_support_agrees,temporal_signed_support_conflicts,council_agreements,council_conflicts,council_balance,council_signal_strength,council_state_strength,candidate_prob_delta,effective_raw_contrib,effective_local_contrib,selection_score,source_regime,before,after,mode
141,991,id06,2024-08-10,S2,0.999987946235458,0.957985327437704,-0.0420026187977538,-8.199307924822254,0.0081647124209221,7.23955545108717e-05,False,True,False,0.472686244016918,0.1323768601614731,-8.612897600713525,0.3153286093395575,-15.369140005434422,-8.612897600713525,0.0,2.7834225566001107,0.34,0.0420561378175335,0.0833333333333333,0.0777777777777778,2.950560316050727,0.1323768601614731,0.4122451055895192,0.423734062626212,0.2539855212518844,0.0828321985322136,2.7834225566001107,1.0,1.0,1.0,0.18679398207332554,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,9,2,7,0.34887464757406456,0.6828475065991169,2.0537645420981576e-06,-0.00018600583848918514,-1.6492921153202557e-06,0.00043819613713968976,opposite_sign_council_search_k180,0.999987946235458,0.99999,two_regime_assignment_union_k360
135,950,id06,2024-07-14,S3,0.9998535480107577,0.99999,0.0001364519892423,2.6842490259382963,-0.0033543598407457,0.0040801317882106,False,True,False,0.5000377581962349,0.34,-6.463137922767725,0.7699656997103923,-9.977712615441634,-6.463137922767725,0.0,2.6322432092261137,0.34,-0.0613217006732332,0.0416666666666666,0.0388888888888888,2.731367397733349,0.34,0.3163413764309964,0.2226910057004396,0.0991346327170626,0.1408658684915112,2.6322432092261137,1.0,1.0,1.0,0.29999999999992255,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,8,3,5,0.3499399125372062,0.7360540124417305,3.7953568807425064e-05,-0.00037489366392587695,0.0004560081887465778,0.0003801384282282122,subject_threshold_council_balanced_k180,0.9998535480107577,0.9998915015795651,two_regime_assignment_union_k360
145,1019,id06,2024-08-15,S2,0.9999813739295712,0.8846775578712032,-0.115303816058368,-8.85343850870955,0.0095350494478397,-0.0075455799253844,False,True,False,0.425033893491632,-0.0272624937427291,-8.177703527429685,0.3153308961911856,16.097961339977946,8.177703527429685,1.0,2.0035568187678168,0.34,0.041981816994995,0.0833333333333333,0.0777777777777778,2.950433417735899,-0.0272624937427291,0.6454131556514747,1.5492751058873988,0.3293065505569465,-0.5088263624121682,2.0035568187678168,1.0,1.0,0.0,0.30000000000450733,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,7,4,3,0.4342049399065468,0.6652568297918849,4.82747146224316e-06,-0.0003230964818449792,0.00025568302930239757,0.0003307320711388884,opposite_sign_council_search_k180,0.9999813739295712,0.9999862014010334,two_regime_assignment_union_k360
148,1042,id06,2024-08-22,S4,0.9987632915643389,0.99999,0.0012267084356611,4.818851022581352,-0.0016765581619781,-0.0045592493761619,True,True,False,0.5004193479524814,0.2568072548590246,-4.629701611490891,0.2967009132035425,-7.979070878719049,-4.629701611490891,0.0,2.544410865606634,0.34,-0.0118047229894397,0.1049999999999999,0.0622588235294117,2.7786519968252823,0.2568072548590246,0.4379261406741177,0.4545361250581274,-0.0713039486874961,0.5895258382246988,2.544410865606634,1.0,0.0,1.0,0.29999999999990035,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,7,4,3,0.3985829639489708,0.6795219548733613,0.0003202385346537939,-0.00010437497366827489,-0.0002838383686149847,0.0003188899134577784,subject_threshold_council_balanced_k180,0.9987632915643389,0.9990835300989926,two_regime_assignment_union_k360
55,388,id02,2024-10-13,S1,0.9999866125503653,0.9743848821911252,-0.0256017303592399,-7.582555831520756,0.0061327655280089,-0.0048755606263089,False,True,False,0.4833454878168592,0.0134744304656519,-8.52210140673371,0.7531679409794128,-14.152582335488008,-8.52210140673371,0.0,1.943430933162428,0.34,0.0208080483622806,0.0899999999999999,0.0312827586206896,2.816166515262553,0.0134744304656519,0.110015975521638,0.0898352371565511,-0.4187352925109797,0.5668275656926336,1.943430933162428,1.0,0.0,1.0,0.29173596815634184,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,8,3,5,0.3248223606024386,0.6951564850095499,3.3874496347952032e-06,-0.00023595583448947688,0.0001875853513281576,0.0003126345367068859,opposite_sign_council_search_k180,0.9999866125503653,0.99999,two_regime_assignment_union_k360
110,775,id05,2024-10-02,S3,0.1560710222038943,1e-05,-0.1560610222038942,-9.825158297578856,0.0047933304532516,0.0041010290891468,False,False,False,0.554611357771363,0.1867839755663692,0.1944642278688497,0.3525337510258082,1.2264334888726005,0.1944642278688497,1.0,2.3059032124216827,0.1867839755663692,-0.1055349112895443,-0.1363636363636363,0.106060606060606,2.3059032124216827,0.1867839755663692,0.0660075540549526,-0.6208438045235924,0.9969838824468004,-0.6744907594765952,2.3059032124216827,0.0,1.0,0.0,0.2999999999999998,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,7,4,3,0.2858701104881549,0.6187308118922673,0.043695031507810955,-0.00014635887712158806,-0.0001252202447513985,0.00028870831293034634,opposite_sign_council_search_k180,0.1560710222038943,0.19976605371170522,two_regime_assignment_union_k360
32,228,id02,2024-08-31,S2,0.9999835328808347,0.99999,6.46711916529874e-06,0.4987869890347109,-0.0003468677350257,0.0002703160129504,False,True,False,0.4999922634917079,0.1456305930046283,-8.551518435825844,0.0647147672658534,-16.082171847107738,-8.551518435825844,0.0,2.581250716152041,0.34,0.012194945686821,0.0833333333333333,0.0583333333333333,2.8506813166003,0.1456305930046283,0.6961362532801886,1.983193794765501,-0.6244929483610089,0.0828321985322136,2.581250716152041,1.0,0.0,1.0,0.30000000000809024,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,8,3,5,0.44669583281276015,0.6523916660093897,4.2679251797128614e-06,-0.0002086267741504861,0.00016258404022178295,0.00027820034472636067,subject_threshold_council_balanced_k180,0.9999835328808347,0.9999878008060145,two_regime_assignment_union_k360
151,1061,id06,2024-08-25,S2,0.9989009488849896,0.9462262665298884,-0.0526746823551012,-3.944511838307752,0.0019574839531608,0.0022847338824068,False,True,False,0.4646624053541738,0.1194988934588843,-4.126272299926695,0.2880408659290654,-7.0371602602409675,-4.126272299926695,0.0,2.5941606671242243,0.2783515102309152,0.0056597024980336,0.0599999999999999,0.0302399999999999,2.7306674740841332,0.1194988934588843,-0.3590311470816789,-3.0530912544368003,1.923286888463849,-9.853094356155583e-17,2.5941606671242243,0.0,1.0,0.0,0.3000000000000389,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,6,4,2,0.4428991271691584,0.6890553818725234,0.00028462203014845144,-0.00014887651755667519,-0.00017376552354731516,0.00027447544906313714,opposite_sign_council_search_k180,0.9989009488849896,0.999185570915138,two_regime_assignment_union_k360
8,61,id01,2024-08-10,S3,0.8319663663360969,0.9570058035132852,0.1250394371771882,1.5031164593710236,-0.0003380754340991,-0.0003860461205724,True,False,False,0.500769606525301,0.1349179618066152,0.1516912197577749,0.01226951732251,-0.0073309968987756,0.1516912197577749,1.0,1.950525895671345,0.1349179618066152,0.0869310798663258,0.1463414634146341,0.0931263858093126,1.950525895671345,0.1349179618066152,0.1398549859529517,1.2031082155036297,-1.600621018449958,0.6202634084436986,1.950525895671345,1.0,0.0,1.0,0.2999999999999996,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,10,1,9,0.3074576999829732,0.4014655319612115,0.037883034055626874,-6.747489830042059e-05,-7.704914376375666e-05,0.0002674563051132003,subject_threshold_council_balanced_k180,0.8319663663360969,0.8698494003917238,two_regime_assignment_union_k360
150,1056,id06,2024-08-24,S4,0.9796218977121348,0.7207519882557615,-0.2588699094563733,-2.924510994324248,0.0010388545436395,0.0006005697186149,False,True,False,0.3113564565654921,0.1401658666358924,-1.8711197484253193,0.2339241054183016,-2.9188354992747727,-1.8711197484253193,0.0,2.655723429129875,0.2108865691697216,0.0468868204289933,0.1049999999999999,0.0557052631578947,2.8722116278399734,0.1401658666358924,0.1642155298259016,-0.6251669570529353,0.3247697322335457,0.5895258382246988,2.655723429129875,0.0,1.0,1.0,0.30000000000000737,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,8,3,5,0.37327480338381386,0.6681702043130193,0.0052014754397915475,-0.00010656699998622357,-6.160719379553182e-05,0.0002485893190132614,opposite_sign_council_search_k180,0.9796218977121348,0.9848233731519264,two_regime_assignment_union_k360
